radboudsource,sourceguid,sourcelabel,targettype
CHEMBL1200656,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1200656,NATAMYCIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1201746,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201746,PRALATREXATE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1231,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1231,OXYBUTYNIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1231,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1231,OXYBUTYNIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL2023898,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2023898,DACLATASVIR,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1091,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1091,HYDROCORTISONE ACETATE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1091,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1091,HYDROCORTISONE ACETATE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL2308885,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2308885,CLOBETASONE BUTYRATE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL24147,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL24147,RESORCINOL,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL24147,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL24147,RESORCINOL,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL364713,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL364713,NOSCAPINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL762,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL762,OXYMETAZOLINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL87493,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL87493,FENFLURAMINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL112,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL112,ACETAMINOPHEN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL112,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL112,ACETAMINOPHEN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL112,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL112,ACETAMINOPHEN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL141,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL141,LAMIVUDINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL141,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL141,LAMIVUDINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL204656,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL204656,ELVITEGRAVIR,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL2110805,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2110805,EMEPRONIUM,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1201460,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201460,DALTEPARIN SODIUM,http://rdf.ebi.ac.uk/terms/chembl#Oligosaccharide
CHEMBL1201460,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201460,DALTEPARIN SODIUM,http://rdf.ebi.ac.uk/terms/chembl#Oligosaccharide
CHEMBL1201666,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201666,LEPIRUDIN,http://rdf.ebi.ac.uk/terms/chembl#ProteinMolecule
CHEMBL1504,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1504,TRIAMCINOLONE ACETONIDE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1504,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1504,TRIAMCINOLONE ACETONIDE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1504,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1504,TRIAMCINOLONE ACETONIDE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1742996,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1742996,BRODALUMAB,http://rdf.ebi.ac.uk/terms/chembl#Antibody
CHEMBL2108222,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2108222,ALOXIPRIN,http://rdf.ebi.ac.uk/terms/chembl#UnknownSubstance
CHEMBL2336071,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2336071,SIPONIMOD,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1051,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1051,LATANOPROST,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1201185,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201185,LANREOTIDE,http://rdf.ebi.ac.uk/terms/chembl#ProteinMolecule
CHEMBL1201476,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201476,ENOXAPARIN SODIUM,http://rdf.ebi.ac.uk/terms/chembl#Oligosaccharide
CHEMBL1201476,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201476,ENOXAPARIN SODIUM,http://rdf.ebi.ac.uk/terms/chembl#Oligosaccharide
CHEMBL1286,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1286,LEVETIRACETAM,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1433,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1433,DOXYCYCLINE ANHYDROUS,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1433,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1433,DOXYCYCLINE ANHYDROUS,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL2108147,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2108147,STREPTOKINASE,http://rdf.ebi.ac.uk/terms/chembl#Enzyme
CHEMBL218490,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL218490,DORZOLAMIDE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL259209,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL259209,MILNACIPRAN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL702,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL702,PIPERACILLIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL702,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL702,PIPERACILLIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
