demokratisid,mesh,demokratis_label,pubchem_cid,IUPACname
C0613621,http://purl.bioontology.org/ontology/MESH/C030536,"2,2-dichloro-1,1-difluoroethyl difluoromethyl ether",https://pubchem.ncbi.nlm.nih.gov/compound/152803,"2,2-dichloro-1,1-difluoroethyl%20difluoromethyl%20ether"
C0059747,http://purl.bioontology.org/ontology/MESH/C007650,ethyl acetate,https://pubchem.ncbi.nlm.nih.gov/compound/8857,ethyl%20acetate
C0010207,http://purl.bioontology.org/ontology/MESH/D003374,Coumarins,https://pubchem.ncbi.nlm.nih.gov/compound/54678486,Coumarins
C0037567,http://purl.bioontology.org/ontology/MESH/D014635,Sodium Valproate,https://pubchem.ncbi.nlm.nih.gov/compound/3121,Valproic%20Acid
C0006864,http://purl.bioontology.org/ontology/MESH/D002186,Cannabinoids,https://pubchem.ncbi.nlm.nih.gov/compound/9852188,Cannabinoids
C0006230,http://purl.bioontology.org/ontology/MESH/D001971,Bromocriptine,https://pubchem.ncbi.nlm.nih.gov/compound/31101,Bromocriptine
C0010976,http://purl.bioontology.org/ontology/MESH/D003620,Dantrolene,https://pubchem.ncbi.nlm.nih.gov/compound/6914273,Dantrolene
C0142812,http://purl.bioontology.org/ontology/MESH/D020148,Sodium Butyrate,https://pubchem.ncbi.nlm.nih.gov/compound/264,Butyric%20Acid
C0299792,http://purl.bioontology.org/ontology/MESH/D000068180,aripiprazole,https://pubchem.ncbi.nlm.nih.gov/compound/60795,Aripiprazole
C0037567,http://purl.bioontology.org/ontology/MESH/D014635,Sodium Valproate,https://pubchem.ncbi.nlm.nih.gov/compound/3121,Valproic%20Acid
C0057090,http://purl.bioontology.org/ontology/MESH/C004742,daidzein,https://pubchem.ncbi.nlm.nih.gov/compound/5281708,daidzein
C0008405,http://purl.bioontology.org/ontology/MESH/D002794,Choline,https://pubchem.ncbi.nlm.nih.gov/compound/305,Choline
C0013030,http://purl.bioontology.org/ontology/MESH/D004298,Dopamine,https://pubchem.ncbi.nlm.nih.gov/compound/681,Dopamine
C0649350,http://purl.bioontology.org/ontology/MESH/D000068836,rivastigmine,https://pubchem.ncbi.nlm.nih.gov/compound/77991,Rivastigmine
C0034392,http://purl.bioontology.org/ontology/MESH/D011794,Quercetin,https://pubchem.ncbi.nlm.nih.gov/compound/5280343,Quercetin
C0649350,http://purl.bioontology.org/ontology/MESH/D000068836,rivastigmine,https://pubchem.ncbi.nlm.nih.gov/compound/77991,Rivastigmine
C0021236,http://purl.bioontology.org/ontology/MESH/C030374,indole,https://pubchem.ncbi.nlm.nih.gov/compound/798,indole
C0003968,http://purl.bioontology.org/ontology/MESH/D001205,Ascorbic Acid,https://pubchem.ncbi.nlm.nih.gov/compound/54670067,Ascorbic%20Acid
C0074710,http://purl.bioontology.org/ontology/MESH/D000077487,Pramipexole,https://pubchem.ncbi.nlm.nih.gov/compound/119570,Pramipexole
C0005014,http://purl.bioontology.org/ontology/MESH/D001545,Benserazide,https://pubchem.ncbi.nlm.nih.gov/compound/2327,Benserazide
C0649350,http://purl.bioontology.org/ontology/MESH/D000068836,rivastigmine,https://pubchem.ncbi.nlm.nih.gov/compound/77991,Rivastigmine
C0078844,http://purl.bioontology.org/ontology/MESH/D000078305,zonisamide,https://pubchem.ncbi.nlm.nih.gov/compound/5734,Zonisamide
C0013030,http://purl.bioontology.org/ontology/MESH/D004298,Dopamine,https://pubchem.ncbi.nlm.nih.gov/compound/681,Dopamine
C0006864,http://purl.bioontology.org/ontology/MESH/D002186,Cannabinoids,https://pubchem.ncbi.nlm.nih.gov/compound/9852188,Cannabinoids
C0245561,http://purl.bioontology.org/ontology/MESH/D000068736,duloxetine,https://pubchem.ncbi.nlm.nih.gov/compound/60834,Duloxetine%20Hydrochloride
C0095278,http://purl.bioontology.org/ontology/MESH/C038131,epalrestat,https://pubchem.ncbi.nlm.nih.gov/compound/1549120,epalrestat
C0299792,http://purl.bioontology.org/ontology/MESH/D000068180,aripiprazole,https://pubchem.ncbi.nlm.nih.gov/compound/60795,Aripiprazole
C0074710,http://purl.bioontology.org/ontology/MESH/D000077487,Pramipexole,https://pubchem.ncbi.nlm.nih.gov/compound/119570,Pramipexole
C0051767,http://purl.bioontology.org/ontology/MESH/C025953,amsonic acid,https://pubchem.ncbi.nlm.nih.gov/compound/5284378,amsonic%20acid
C0095278,http://purl.bioontology.org/ontology/MESH/C038131,epalrestat,https://pubchem.ncbi.nlm.nih.gov/compound/1549120,epalrestat
C0017970,http://purl.bioontology.org/ontology/MESH/D006024,Glycopyrrolate,https://pubchem.ncbi.nlm.nih.gov/compound/11693,Glycopyrrolate
C0095278,http://purl.bioontology.org/ontology/MESH/C038131,epalrestat,https://pubchem.ncbi.nlm.nih.gov/compound/1549120,epalrestat
C0006864,http://purl.bioontology.org/ontology/MESH/D002186,Cannabinoids,https://pubchem.ncbi.nlm.nih.gov/compound/9852188,Cannabinoids
C0245561,http://purl.bioontology.org/ontology/MESH/D000068736,duloxetine,https://pubchem.ncbi.nlm.nih.gov/compound/60834,Duloxetine%20Hydrochloride
C0006982,http://purl.bioontology.org/ontology/MESH/D002230,Carbidopa,https://pubchem.ncbi.nlm.nih.gov/compound/34359,Carbidopa
C0006982,http://purl.bioontology.org/ontology/MESH/D002230,Carbidopa,https://pubchem.ncbi.nlm.nih.gov/compound/34359,Carbidopa
C0006864,http://purl.bioontology.org/ontology/MESH/D002186,Cannabinoids,https://pubchem.ncbi.nlm.nih.gov/compound/9852188,Cannabinoids
C0099085,http://purl.bioontology.org/ontology/MESH/C072598,6-bromo-2-naphthyl sulfate,https://pubchem.ncbi.nlm.nih.gov/compound/195976,6-bromo-2-naphthyl%20sulfate
C0034272,http://purl.bioontology.org/ontology/MESH/D011736,pyridoxine,https://pubchem.ncbi.nlm.nih.gov/compound/1054,Pyridoxine
C0006982,http://purl.bioontology.org/ontology/MESH/D002230,Carbidopa,https://pubchem.ncbi.nlm.nih.gov/compound/34359,Carbidopa
C0245561,http://purl.bioontology.org/ontology/MESH/D000068736,duloxetine,https://pubchem.ncbi.nlm.nih.gov/compound/60834,Duloxetine%20Hydrochloride
C0034263,http://purl.bioontology.org/ontology/MESH/D011730,Pyridoxal,https://pubchem.ncbi.nlm.nih.gov/compound/1050,Pyridoxal
C0034266,http://purl.bioontology.org/ontology/MESH/D011732,Pyridoxal Phosphate,https://pubchem.ncbi.nlm.nih.gov/compound/1051,Pyridoxal%20Phosphate
C2698764,http://purl.bioontology.org/ontology/MESH/C551441,perampanel,https://pubchem.ncbi.nlm.nih.gov/compound/9924495,perampanel
C0025598,http://purl.bioontology.org/ontology/MESH/D008687,Metformin,https://pubchem.ncbi.nlm.nih.gov/compound/4091,Metformin
C0209337,http://purl.bioontology.org/ontology/MESH/D000077123,Rocuronium,https://pubchem.ncbi.nlm.nih.gov/compound/441290,Rocuronium
C0013030,http://purl.bioontology.org/ontology/MESH/D004298,Dopamine,https://pubchem.ncbi.nlm.nih.gov/compound/681,Dopamine
C0025598,http://purl.bioontology.org/ontology/MESH/D008687,Metformin,https://pubchem.ncbi.nlm.nih.gov/compound/4091,Metformin
C0245561,http://purl.bioontology.org/ontology/MESH/D000068736,duloxetine,https://pubchem.ncbi.nlm.nih.gov/compound/60834,Duloxetine%20Hydrochloride
C0025598,http://purl.bioontology.org/ontology/MESH/D008687,Metformin,https://pubchem.ncbi.nlm.nih.gov/compound/4091,Metformin
C0006982,http://purl.bioontology.org/ontology/MESH/D002230,Carbidopa,https://pubchem.ncbi.nlm.nih.gov/compound/34359,Carbidopa
C0055894,http://purl.bioontology.org/ontology/MESH/C000490,clobenzorex,https://pubchem.ncbi.nlm.nih.gov/compound/71675,clobenzorex
C0025598,http://purl.bioontology.org/ontology/MESH/D008687,Metformin,https://pubchem.ncbi.nlm.nih.gov/compound/4091,Metformin
C0009010,http://purl.bioontology.org/ontology/MESH/D002997,Clomipramine,https://pubchem.ncbi.nlm.nih.gov/compound/2801,Clomipramine
C0074414,http://purl.bioontology.org/ontology/MESH/D000077149,sevoflurane,https://pubchem.ncbi.nlm.nih.gov/compound/5206,Sevoflurane
C0017970,http://purl.bioontology.org/ontology/MESH/D006024,Glycopyrrolate,https://pubchem.ncbi.nlm.nih.gov/compound/11693,Glycopyrrolate
C0649350,http://purl.bioontology.org/ontology/MESH/D000068836,rivastigmine,https://pubchem.ncbi.nlm.nih.gov/compound/77991,Rivastigmine
C0013030,http://purl.bioontology.org/ontology/MESH/D004298,Dopamine,https://pubchem.ncbi.nlm.nih.gov/compound/681,Dopamine
