source,ensembl,uniprot,taxon,prefname
C1421479,http://purl.uniprot.org/opentargets/ENSG00000007047,http://purl.uniprot.org/uniprot/Q96L34,http://purl.uniprot.org/taxonomy/9606,MAP/microtubule affinity-regulating kinase 4
C1418504,http://purl.uniprot.org/opentargets/ENSG00000013375,http://purl.uniprot.org/uniprot/O95394,http://purl.uniprot.org/taxonomy/9606,Phosphoacetylglucosamine mutase
C1425023,http://purl.uniprot.org/opentargets/ENSG00000033011,http://purl.uniprot.org/uniprot/Q9BT22,http://purl.uniprot.org/taxonomy/9606,Chitobiosyldiphosphodolichol beta-mannosyltransferase
C1421146,http://purl.uniprot.org/opentargets/ENSG00000039650,http://purl.uniprot.org/uniprot/Q96T60,http://purl.uniprot.org/taxonomy/9606,Bifunctional polynucleotide phosphatase/kinase
C1538301,http://purl.uniprot.org/opentargets/ENSG00000066427,http://purl.uniprot.org/uniprot/P54252,http://purl.uniprot.org/taxonomy/9606,Ataxin-3
C1417651,http://purl.uniprot.org/opentargets/ENSG00000077984,http://purl.uniprot.org/uniprot/O76096,http://purl.uniprot.org/taxonomy/9606,Cystatin-F
C1537998,http://purl.uniprot.org/opentargets/ENSG00000079332,http://purl.uniprot.org/uniprot/Q9NR31,http://purl.uniprot.org/taxonomy/9606,Small COPII coat GTPase SAR1A
C1424584,http://purl.uniprot.org/opentargets/ENSG00000080824,http://purl.uniprot.org/uniprot/P07900,http://purl.uniprot.org/taxonomy/9606,Heat shock protein HSP 90-alpha
C1418866,http://purl.uniprot.org/opentargets/ENSG00000089280,http://purl.uniprot.org/uniprot/P35637,http://purl.uniprot.org/taxonomy/9606,RNA-binding protein FUS
C1422048,http://purl.uniprot.org/opentargets/ENSG00000090661,http://purl.uniprot.org/uniprot/Q9HA82,http://purl.uniprot.org/taxonomy/9606,Ceramide synthase 4
C1417668,http://purl.uniprot.org/opentargets/ENSG00000096717,http://purl.uniprot.org/uniprot/Q96EB6,http://purl.uniprot.org/taxonomy/9606,NAD-dependent protein deacetylase sirtuin-1
C1414860,http://purl.uniprot.org/opentargets/ENSG00000100815,http://purl.uniprot.org/uniprot/Q15643,http://purl.uniprot.org/taxonomy/9606,Thyroid receptor-interacting protein 11
C1413195,http://purl.uniprot.org/opentargets/ENSG00000101191,http://purl.uniprot.org/uniprot/Q9BTC0,http://purl.uniprot.org/taxonomy/9606,Death-inducer obliterator 1
C1412727,http://purl.uniprot.org/opentargets/ENSG00000102753,http://purl.uniprot.org/uniprot/O00505,http://purl.uniprot.org/taxonomy/9606,Importin subunit alpha-4
C1420527,http://purl.uniprot.org/opentargets/ENSG00000105514,http://purl.uniprot.org/uniprot/O95716,http://purl.uniprot.org/taxonomy/9606,Ras-related protein Rab-3D
C1538301,http://purl.uniprot.org/opentargets/ENSG00000107105,http://purl.uniprot.org/uniprot/Q12926,http://purl.uniprot.org/taxonomy/9606,ELAV-like protein 2
C1825311,http://purl.uniprot.org/opentargets/ENSG00000108424,http://purl.uniprot.org/uniprot/Q14974,http://purl.uniprot.org/taxonomy/9606,Importin subunit beta-1
C1825598,http://purl.uniprot.org/opentargets/ENSG00000108576,http://purl.uniprot.org/uniprot/P31645,http://purl.uniprot.org/taxonomy/9606,Sodium-dependent serotonin transporter
C1414247,http://purl.uniprot.org/opentargets/ENSG00000108823,http://purl.uniprot.org/uniprot/Q16586,http://purl.uniprot.org/taxonomy/9606,Alpha-sarcoglycan
C1424950,http://purl.uniprot.org/opentargets/ENSG00000109320,http://purl.uniprot.org/uniprot/P19838,http://purl.uniprot.org/taxonomy/9606,Nuclear factor NF-kappa-B p105 subunit
C1413555,http://purl.uniprot.org/opentargets/ENSG00000110074,http://purl.uniprot.org/uniprot/Q96CU9,http://purl.uniprot.org/taxonomy/9606,FAD-dependent oxidoreductase domain-containing protein 1
C1744687,http://purl.uniprot.org/opentargets/ENSG00000110717,http://purl.uniprot.org/uniprot/O00217,http://purl.uniprot.org/taxonomy/9606,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"
C1417719,http://purl.uniprot.org/opentargets/ENSG00000111676,http://purl.uniprot.org/uniprot/P54259,http://purl.uniprot.org/taxonomy/9606,Atrophin-1
C1420588,http://purl.uniprot.org/opentargets/ENSG00000112290,http://purl.uniprot.org/uniprot/Q92558,http://purl.uniprot.org/taxonomy/9606,Actin-binding protein WASF1
C1412481,http://purl.uniprot.org/opentargets/ENSG00000112799,http://purl.uniprot.org/uniprot/O95711,http://purl.uniprot.org/taxonomy/9606,Lymphocyte antigen 86
C1421305,http://purl.uniprot.org/opentargets/ENSG00000116679,http://purl.uniprot.org/uniprot/Q9Y6Y0,http://purl.uniprot.org/taxonomy/9606,Influenza virus NS1A-binding protein
C1418797,http://purl.uniprot.org/opentargets/ENSG00000116984,http://purl.uniprot.org/uniprot/Q99707,http://purl.uniprot.org/taxonomy/9606,Methionine synthase
C1413128,http://purl.uniprot.org/opentargets/ENSG00000120948,http://purl.uniprot.org/uniprot/Q13148,http://purl.uniprot.org/taxonomy/9606,TAR DNA-binding protein 43
C1418674,http://purl.uniprot.org/opentargets/ENSG00000122585,http://purl.uniprot.org/uniprot/P01303,http://purl.uniprot.org/taxonomy/9606,Pro-neuropeptide Y
C1418518,http://purl.uniprot.org/opentargets/ENSG00000122783,http://purl.uniprot.org/uniprot/Q9BWK5,http://purl.uniprot.org/taxonomy/9606,Cell cycle regulator of non-homologous end joining
C1538715,http://purl.uniprot.org/opentargets/ENSG00000123104,http://purl.uniprot.org/uniprot/Q14571,http://purl.uniprot.org/taxonomy/9606,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR2"
C1425023,http://purl.uniprot.org/opentargets/ENSG00000124788,http://purl.uniprot.org/uniprot/P54253,http://purl.uniprot.org/taxonomy/9606,Ataxin-1
C1425428,http://purl.uniprot.org/opentargets/ENSG00000126522,http://purl.uniprot.org/uniprot/P04424,http://purl.uniprot.org/taxonomy/9606,Argininosuccinate lyase
C1538624,http://purl.uniprot.org/opentargets/ENSG00000126581,http://purl.uniprot.org/uniprot/Q14457,http://purl.uniprot.org/taxonomy/9606,Beclin-1
C1412215,http://purl.uniprot.org/opentargets/ENSG00000127884,http://purl.uniprot.org/uniprot/P30084,http://purl.uniprot.org/taxonomy/9606,"Enoyl-CoA hydratase, mitochondrial"
C1825598,http://purl.uniprot.org/opentargets/ENSG00000129003,http://purl.uniprot.org/uniprot/Q709C8,http://purl.uniprot.org/taxonomy/9606,Intermembrane lipid transfer protein VPS13C
C1823430,http://purl.uniprot.org/opentargets/ENSG00000130203,http://purl.uniprot.org/uniprot/P02649,http://purl.uniprot.org/taxonomy/9606,Apolipoprotein E
C1538301,http://purl.uniprot.org/opentargets/ENSG00000132002,http://purl.uniprot.org/uniprot/P25685,http://purl.uniprot.org/taxonomy/9606,DnaJ homolog subfamily B member 1
