source,ensembl,uniprot,taxon,prefname
DOID_7551,ENSG00000058085,http://purl.uniprot.org/uniprot/Q13753,http://purl.uniprot.org/taxonomy/9606,Laminin subunit gamma-2
DOID_7551,ENSG00000091831,http://purl.uniprot.org/uniprot/P03372,http://purl.uniprot.org/taxonomy/9606,Estrogen receptor
DOID_7551,ENSG00000102755,http://purl.uniprot.org/uniprot/P17948,http://purl.uniprot.org/taxonomy/9606,Vascular endothelial growth factor receptor 1
DOID_7551,ENSG00000105329,http://purl.uniprot.org/uniprot/P01137,http://purl.uniprot.org/taxonomy/9606,Transforming growth factor beta-1 proprotein
DOID_7551,ENSG00000112115,http://purl.uniprot.org/uniprot/Q16552,http://purl.uniprot.org/taxonomy/9606,Interleukin-17A
DOID_7551,ENSG00000119888,http://purl.uniprot.org/uniprot/P16422,http://purl.uniprot.org/taxonomy/9606,Epithelial cell adhesion molecule
DOID_7551,ENSG00000012779,http://purl.uniprot.org/uniprot/P09917,http://purl.uniprot.org/taxonomy/9606,Polyunsaturated fatty acid 5-lipoxygenase
DOID_7551,ENSG00000068024,http://purl.uniprot.org/uniprot/P56524,http://purl.uniprot.org/taxonomy/9606,Histone deacetylase 4
DOID_7551,ENSG00000082701,http://purl.uniprot.org/uniprot/P49841,http://purl.uniprot.org/taxonomy/9606,Glycogen synthase kinase-3 beta
DOID_7551,ENSG00000092969,http://purl.uniprot.org/uniprot/P61812,http://purl.uniprot.org/taxonomy/9606,Transforming growth factor beta-2 proprotein
DOID_7551,ENSG00000100387,http://purl.uniprot.org/uniprot/P62877,http://purl.uniprot.org/taxonomy/9606,E3 ubiquitin-protein ligase RBX1
DOID_7551,ENSG00000101076,http://purl.uniprot.org/uniprot/P41235,http://purl.uniprot.org/taxonomy/9606,Hepatocyte nuclear factor 4-alpha
DOID_7551,ENSG00000133742,http://purl.uniprot.org/uniprot/P00915,http://purl.uniprot.org/taxonomy/9606,Carbonic anhydrase 1
DOID_7551,ENSG00000146648,http://purl.uniprot.org/uniprot/P00533,http://purl.uniprot.org/taxonomy/9606,Epidermal growth factor receptor
DOID_7551,ENSG00000164692,http://purl.uniprot.org/uniprot/P08123,http://purl.uniprot.org/taxonomy/9606,Collagen alpha-2(I) chain
DOID_7551,ENSG00000171105,http://purl.uniprot.org/uniprot/P06213,http://purl.uniprot.org/taxonomy/9606,Insulin receptor
DOID_7551,ENSG00000176890,http://purl.uniprot.org/uniprot/P04818,http://purl.uniprot.org/taxonomy/9606,Thymidylate synthase
DOID_7551,ENSG00000182578,http://purl.uniprot.org/uniprot/P07333,http://purl.uniprot.org/taxonomy/9606,Macrophage colony-stimulating factor 1 receptor
DOID_7551,ENSG00000232810,http://purl.uniprot.org/uniprot/P01375,http://purl.uniprot.org/taxonomy/9606,Tumor necrosis factor
DOID_7551,ENSG00000073756,http://purl.uniprot.org/uniprot/P35354,http://purl.uniprot.org/taxonomy/9606,Prostaglandin G/H synthase 2
DOID_7551,ENSG00000115594,http://purl.uniprot.org/uniprot/P14778,http://purl.uniprot.org/taxonomy/9606,Interleukin-1 receptor type 1
DOID_7551,ENSG00000134318,http://purl.uniprot.org/uniprot/O75116,http://purl.uniprot.org/taxonomy/9606,Rho-associated protein kinase 2
DOID_7551,ENSG00000134871,http://purl.uniprot.org/uniprot/P08572,http://purl.uniprot.org/taxonomy/9606,Collagen alpha-2(IV) chain
DOID_7551,ENSG00000143799,http://purl.uniprot.org/uniprot/P09874,http://purl.uniprot.org/taxonomy/9606,Poly [ADP-ribose] polymerase 1
DOID_7551,ENSG00000160712,http://purl.uniprot.org/uniprot/P08887,http://purl.uniprot.org/taxonomy/9606,Interleukin-6 receptor subunit alpha
DOID_7551,ENSG00000163558,http://purl.uniprot.org/uniprot/P41743,http://purl.uniprot.org/taxonomy/9606,Protein kinase C iota type
DOID_7551,ENSG00000169083,http://purl.uniprot.org/uniprot/P10275,http://purl.uniprot.org/taxonomy/9606,Androgen receptor
DOID_7551,ENSG00000177455,http://purl.uniprot.org/uniprot/P15391,http://purl.uniprot.org/taxonomy/9606,B-lymphocyte antigen CD19
DOID_7551,ENSG00000189221,http://purl.uniprot.org/uniprot/P21397,http://purl.uniprot.org/taxonomy/9606,Amine oxidase [flavin-containing] A
DOID_7551,ENSG00000196411,http://purl.uniprot.org/uniprot/P54760,http://purl.uniprot.org/taxonomy/9606,Ephrin type-B receptor 4
DOID_7551,ENSG00000197122,http://purl.uniprot.org/uniprot/P12931,http://purl.uniprot.org/taxonomy/9606,Proto-oncogene tyrosine-protein kinase Src
DOID_7551,ENSG00000067900,http://purl.uniprot.org/uniprot/Q13464,http://purl.uniprot.org/taxonomy/9606,Rho-associated protein kinase 1
DOID_7551,ENSG00000105675,http://purl.uniprot.org/uniprot/P20648,http://purl.uniprot.org/taxonomy/9606,Potassium-transporting ATPase alpha chain 1
DOID_7551,ENSG00000110799,http://purl.uniprot.org/uniprot/P04275,http://purl.uniprot.org/taxonomy/9606,von Willebrand factor
DOID_7551,ENSG00000112715,http://purl.uniprot.org/uniprot/P15692,http://purl.uniprot.org/taxonomy/9606,"Vascular endothelial growth factor A, long form"
DOID_7551,ENSG00000120907,http://purl.uniprot.org/uniprot/P35348,http://purl.uniprot.org/taxonomy/9606,Alpha-1A adrenergic receptor
DOID_7551,ENSG00000157184,http://purl.uniprot.org/uniprot/P23786,http://purl.uniprot.org/taxonomy/9606,"Carnitine O-palmitoyltransferase 2, mitochondrial"
DOID_7551,ENSG00000197565,http://purl.uniprot.org/uniprot/Q14031,http://purl.uniprot.org/taxonomy/9606,Collagen alpha-6(IV) chain
